Clave_DGES,Esc_norm_1,Estado,municipio
ags01,Centro Regional de Educación Normal de Aguascalientes,Aguascalientes,Aguascalientes
ags04,"Escuela Normal Rural ""Justo Sierra Méndez""",Aguascalientes,Aguascalientes
ags03,"Escuela Normal Superior Federal de Aguascalientes ""Profr José SantosValdés""",Aguascalientes,Aguascalientes
ags02,Escuela Normal de Aguascalientes,Aguascalientes,Aguascalientes
ags06,"Escuela Normal de Rincón de Romos ""Dr Rafael Francisco Aguilar Lomelí""",Aguascalientes,
bca03,Benemérita Escuela Normal Educadora Rosaura Zapata,Baja California,Mexicali
bca02,"Benemérita Escuela Normal Estatal, Profesor Jesús Prado Luna",Baja California,Ensenada
bca23,"Benemérita Escuela Normal Estatal, Profesor Jesús Prado Luna, Ext SanQuintín",Baja California,San Quintín
bca04,"Benemérita Escuela Normal Urbana Federal ""Fronteriza"" de Mexicali",Baja California,Mexicali
bca06,"Benemérita Escuela Normal Urbana Nocturna del Estado, Ing José GValenzuela",Baja California,Mexicali
bca08,"Escuela Normal ""Profr Gregorio Torres Quintero""",Baja California,
bca01,"Escuela Normal Experimental ""Mtro Rafael Ramírez""",Baja California,Mexicali
bca09,Escuela Normal Fronteriza Tijuana,Baja California,Tijuana
bca07,Escuela Normal del Valle de Mexicali Ejido Campeche,Baja California,Mexicali
bca99,Instituto de Bellas Artes del Estado de Baja California,Baja California,Mexicali
bca22,Normal Estefanía Castañeda y Núñez de Cáceres,Baja California,Mexicali
bcs01,"Benemérita Escuela Normal Urbana ""Profr Domingo Carballo Félix""",Baja California Sur,La Paz
bcs03,"Centro Regional de Educación Normal ""Marcelo Rubio Ruiz""",Baja California Sur,Loreto
bcs02,Escuela Normal Superior del Estado de Baja California Sur,Baja California Sur,La Paz
bcs05,Escuela Normal Superior del Estado de Baja California Sur (Extensión CdConstitución),Baja California Sur,Comondú
bcs04,Escuela Normal Superior del Estado de Baja California Sur (Extensión LosCabos),Baja California Sur,Los Cabos
bcs7r,Escuela Superior de Cultura Física de Baja California Sur,Baja California Sur,La Paz
cam09,"Benemérita Escuela Normal ""Profra Pilar Elena Flores Acuña"" del InstitutoCampechano***",Campeche,
cam07,"Escuela Normal Rural ""Justo Sierra Méndez""",Campeche,Hecelchakán
cam08,"Escuela Normal Superior ""Profr Salomón Barrancos Aguilar"" del InstitutoCampechano***",Campeche,
cam06,Escuela Normal Superior Federal de Campeche,Campeche,Campeche
cam10,Escuela Normal de Educación Preescolar Lic Miriam Cuevas Trujillo,Campeche,
cam04,Escuela Normal de Licenciatura en Educación Especial,Campeche,Calkiní
cam05,Escuela Normal de Licenciatura en Educación Física,Campeche,Calkiní
cam03,"Escuela Normal de Licenciatura en Educación Preescolar ""Profr PastorRodríguez Estrada""",Campeche,Calkiní
cam02,"Escuela Normal de Licenciatura en Educación Preescolar ""Profr PastorRodríguez Estrada"" (Módulo Hecelchakán)***",Campeche,
cam11,Escuela Normal de Licenciatura en Educación Primaria (Módulo Hopelchén),Campeche,Hopelchén
cam01,Escuela Normal de Licenciatura en Educación Primaria de Calkiní,Campeche,Calkiní
chp10,"Escuela Normal Experimental ""La Enseñanza"" e ""Ignacio Manuel Altamirano""",Chiapas,Tuxtla Chico
chp03,Escuela Normal Rural Mactumactzá,Chiapas,Tuxtla Gutiérrez
chp15,Escuela Normal Superior de Chiapas,Chiapas,Tuxtla Gutiérrez
chp13,"Escuela Normal de Licenciatura en Educación Física ""Profr Pedro ReynolOzuna Henning""",Chiapas,Tuxtla Gutiérrez
chp07,Escuela Normal de Licenciatura en Educación Física de Tapachula,Chiapas,Tapachula
chp11,"Escuela Normal de Licenciatura en Educación Preescolar ""Bertha Von Glumery Leyva""",Chiapas,
chp04,"Escuela Normal de Licenciatura en Educación Preescolar ""Lic ManuelLarraínzar""",Chiapas,San Cristóbal de las Casas
chp08,"Escuela Normal de Licenciatura en Educación Preescolar ""RosarioCastellanos""",Chiapas,Tapachula
chp12,"Escuela Normal de Licenciatura en Educación Preescolar ""Rosaura ZapataCano""",Chiapas,Tuxtla Gutiérrez
chp17,"Escuela Normal de Licenciatura en Educación Preescolar y Primaria delEstado ""Tonalá""",Chiapas,Tonalá
chp01,"Escuela Normal de Licenciatura en Educación Primaria ""Del Occidente deChiapas""",Chiapas,Cintalapa
chp02,"Escuela Normal de Licenciatura en Educación Primaria ""Dr Manuel VelascoSuárez""",Chiapas,Huehuetán
chp09,"Escuela Normal de Licenciatura en Educación Primaria ""Fray Matías deCórdova""",Chiapas,Tapachula
chp19,"Escuela Normal de Licenciatura en Educación Primaria ""Lic ManuelLarraínzar""",Chiapas,San Cristóbal de las Casas
chp16,"Escuela Normal de Licenciatura en Educación Primaria ""Villaflores""",Chiapas,Villaflores
chp14,Escuela Normal de Licenciatura en Educación Primaria del Estado (Turnomatutino),Chiapas,Tuxtla Gutiérrez
chp20,Escuela Normal de Licenciatura en Educación Primaria del Estado (Turnovespertino),Chiapas,Tuxtla Gutiérrez
chi02,"Escuela Normal Experimental ""Miguel Hidalgo""",Chihuahua,Hidalgo del Parral
chi07,"Escuela Normal Particular ""Yermo y Parres""",Chihuahua,
chi03,"Escuela Normal Rural ""Ricardo Flores Magón""",Chihuahua,
chi04,"Escuela Normal Superior ""Profr José E Medrano R""",Chihuahua,Chihuahua
chi05,"Escuela Normal Superior ""Profr José E Medrano R"" (Unidad Juárez)",Chihuahua,Juárez
chi08,"Escuela Normal Superior ""Profr José E Medrano R"" (Unidad Nuevo CasasGrandes)",Chihuahua,
chi06,"Escuela Normal Superior ""Profr José E Medrano R"" (Unidad Parral)",Chihuahua,Hidalgo del Parral
chi01,Institución Benemérita y Centenaria Escuela Normal del Estado deChihuahua Profesor Luis Urías Belderráin,Chihuahua,Chihuahua
cdmx02,Benemérita Escuela Nacional de Maestros,Ciudad de México,
cdmx01,Escuela Nacional para Maestras de Jardines de Niños,Ciudad de México,Álvaro Obregón
cdmx03,Escuela Normal Superior de México,Ciudad de México,Azcapotzalco
cdmx04,Escuela Normal de Especialización,Ciudad de México,Miguel Hidalgo
cdmx05,Escuela Superior de Educación Física,Ciudad de México,Iztacalco
coh02,Benemérita Escuela Normal de Coahuila,Coahuila,Saltillo
coh07,Escuela Normal Experimental,Coahuila,San Juan de Sabinas
coh01,"Escuela Normal Ofi cial ""Dora Madero""",Coahuila,Parras
coh05,Escuela Normal Regional de Especialización del Estado de Coahuila,Coahuila,Saltillo
coh06,Escuela Normal Superior del Estado de Coahuila,Coahuila,Saltillo
coh03,Escuela Normal de Educación Física,Coahuila,Saltillo
coh04,Escuela Normal de Educación Preescolar del Estado de Coahuila,Coahuila,Saltillo
coh10,Escuela Normal de Monclova,Coahuila,
coh08,Escuela Normal de Torreón,Coahuila,Torreón
col02,"Instituto Superior de Educación Normal del Estado de Colima ""Profr GregorioTorres Quintero""(Subsede Cuauhtémoc)",Colima,
col03,"Instituto Superior de Educación Normal del Estado de Colima ""Profr GregorioTorres Quintero""(Subsede Manzanillo)",Colima,
col04,"Instituto Superior de Educación Normal del Estado de Colima ""Profr GregorioTorres Quintero""(Subsede Tecomán)",Colima,
dgo04,Benemérita y Centenaria Escuela Normal del Estado de Durango,Durango,Durango
dgo1c,Centro de Actualización del Magisterio de Durango,Durango,
dgo01,"Escuela Normal Rural ""J Guadalupe Aguilera""",Durango,
dgo03,"Escuela Normal Urbana ""Profr Carlos A Carrillo""",Durango,El Oro
dgo02,"Instituto de Estudios Superiores de Educación Normal ""Gral LázaroCárdenas del Río""",Durango,
mex33,Centenaria y Benemérita Escuela Normal para Profesores,Estado de México,Toluca
mex08,Escuela Normal No 1 de Nezahualcóyotl,Estado de México,Nezahualcóyotl
mex32,Escuela Normal No 1 de Toluca,Estado de México,Toluca
mex09,Escuela Normal No 2 de Nezahualcóyotl,Estado de México,Nezahualcóyotl
mex10,Escuela Normal No 3 de Nezahualcóyotl,Estado de México,Nezahualcóyotl
mex34,Escuela Normal No 3 de Toluca,Estado de México,Toluca
mex11,Escuela Normal No 4 de Nezahualcóyotl,Estado de México,Nezahualcóyotl
mex25,"Escuela Normal Rural ""Gral Lázaro Cárdenas del Río""",Estado de México,
mex35,Escuela Normal Superior del Estado de México,Estado de México,Toluca
mex1c,Escuela Normal Superior del Valle de México,Estado de México,Tlalnepantla de Baz
mex2c,Escuela Normal Superior del Valle de Toluca,Estado de México,Toluca
mex01,Escuela Normal de Amecameca,Estado de México,Amecameca
mex02,Escuela Normal de Atizapán de Zaragoza,Estado de México,Atizapán de Zaragoza
mex04,Escuela Normal de Atlacomulco,Estado de México,Atlacomulco
mex05,Escuela Normal de Capulhuac,Estado de México,Capulhuac
mex07,Escuela Normal de Chalco,Estado de México,Chalco
mex12,Escuela Normal de Coacalco,Estado de México,Coacalco de Berriozábal
mex13,Escuela Normal de Coatepec Harinas,Estado de México,Coatepec Harinas
mex14,Escuela Normal de Cuautitlán Izcalli,Estado de México,Cuautitlán Izcalli
mex15,Escuela Normal de Ecatepec,Estado de México,Ecatepec de Morelos
mex03,Escuela Normal de Educación Especial del Estado de México,Estado de México,Atizapán de Zaragoza
mex31,"Escuela Normal de Educación Física ""Gral Ignacio M Beteta""",Estado de México,Toluca
mex16,Escuela Normal de Ixtapan de la Sal,Estado de México,Ixtapan de la Sal
mex17,Escuela Normal de Ixtlahuaca,Estado de México,
mex18,Escuela Normal de Jilotepec,Estado de México,Jilotepec
mex06,Escuela Normal de Los Reyes Acaquilpan,Estado de México,La Paz
mex19,Escuela Normal de Naucalpan,Estado de México,Naucalpan de Juárez
mex20,Escuela Normal de San Felipe del Progreso,Estado de México,San Felipe del Progreso
mex30,Escuela Normal de Santa Ana Zicatecoyan,Estado de México,
